,Dataset,Selective,Model,Testing Accuracy
0,Month_6,False,Decision Tree,0.863013698630137
1,Month_6,False,KNN,0.8493150684931506
2,Month_6,False,SVM,0.863013698630137
3,Month_6,False,Random Forest,0.8858447488584474
4,Month_6,False,ADA Boost,0.8904109589041096
5,Month_12,False,Decision Tree,0.8325123152709359
6,Month_12,False,KNN,0.8325123152709359
7,Month_12,False,SVM,0.8768472906403941
8,Month_12,False,Random Forest,0.8866995073891626
9,Month_12,False,ADA Boost,0.8768472906403941
10,Month_18,False,Decision Tree,0.8461538461538461
11,Month_18,False,KNN,0.8131868131868132
12,Month_18,False,SVM,0.8571428571428571
13,Month_18,False,Random Forest,0.8901098901098901
14,Month_18,False,ADA Boost,0.8791208791208791
15,Month_24,False,Decision Tree,0.8373493975903614
16,Month_24,False,KNN,0.8493975903614458
17,Month_24,False,SVM,0.8554216867469879
18,Month_24,False,Random Forest,0.8795180722891566
19,Month_24,False,ADA Boost,0.8674698795180723
20,Month_36,False,Decision Tree,0.8189655172413793
21,Month_36,False,KNN,0.8275862068965517
22,Month_36,False,SVM,0.8275862068965517
23,Month_36,False,Random Forest,0.8448275862068966
24,Month_36,False,ADA Boost,0.8448275862068966
25,Month_48,False,Decision Tree,0.9666666666666667
26,Month_48,False,KNN,0.9333333333333333
27,Month_48,False,SVM,0.8333333333333334
28,Month_48,False,Random Forest,0.9666666666666667
29,Month_48,False,ADA Boost,0.9666666666666667
30,Month_6,True,Decision Tree,0.8721461187214612
31,Month_6,True,KNN,0.8584474885844748
32,Month_6,True,SVM,0.8812785388127854
33,Month_6,True,Random Forest,0.8904109589041096
34,Month_6,True,ADA Boost,0.8721461187214612
35,Month_12,True,Decision Tree,0.8719211822660099
36,Month_12,True,KNN,0.8472906403940886
37,Month_12,True,SVM,0.8620689655172413
38,Month_12,True,Random Forest,0.8866995073891626
39,Month_12,True,ADA Boost,0.8719211822660099
40,Month_18,True,Decision Tree,0.8901098901098901
41,Month_18,True,KNN,0.8351648351648352
42,Month_18,True,SVM,0.8681318681318682
43,Month_18,True,Random Forest,0.8791208791208791
44,Month_18,True,ADA Boost,0.8901098901098901
45,Month_24,True,Decision Tree,0.8433734939759037
46,Month_24,True,KNN,0.8253012048192772
47,Month_24,True,SVM,0.8554216867469879
48,Month_24,True,Random Forest,0.8734939759036144
49,Month_24,True,ADA Boost,0.8614457831325302
50,Month_36,True,Decision Tree,0.8448275862068966
51,Month_36,True,KNN,0.853448275862069
52,Month_36,True,SVM,0.8706896551724138
53,Month_36,True,Random Forest,0.8879310344827587
54,Month_36,True,ADA Boost,0.8620689655172413
55,Month_48,True,Decision Tree,0.9
56,Month_48,True,KNN,0.8666666666666667
57,Month_48,True,SVM,0.9333333333333333
58,Month_48,True,Random Forest,0.9
59,Month_48,True,ADA Boost,0.9
