,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.9152542372881356,0.8571428571428571
1,2,50,0.9258474576271186,0.8423645320197044
2,2,75,0.9152542372881356,0.8571428571428571
3,2,100,0.9258474576271186,0.8423645320197044
4,2,150,0.9258474576271186,0.8423645320197044
5,2,200,0.9258474576271186,0.8423645320197044
6,3,25,0.989406779661017,0.8423645320197044
7,3,50,1.0,0.8522167487684729
8,3,75,1.0,0.8719211822660099
9,3,100,1.0,0.8719211822660099
10,3,150,1.0,0.8571428571428571
11,3,200,1.0,0.8620689655172413
12,4,25,1.0,0.8472906403940886
13,4,50,1.0,0.8571428571428571
14,4,75,1.0,0.8522167487684729
15,4,100,1.0,0.8571428571428571
16,4,150,1.0,0.8620689655172413
17,4,200,1.0,0.8571428571428571
18,5,25,1.0,0.8472906403940886
19,5,50,1.0,0.8472906403940886
20,5,75,1.0,0.8620689655172413
21,5,100,1.0,0.8571428571428571
22,5,150,1.0,0.8620689655172413
23,5,200,1.0,0.8620689655172413
24,6,25,1.0,0.8472906403940886
25,6,50,1.0,0.8719211822660099
26,6,75,1.0,0.8669950738916257
27,6,100,1.0,0.8669950738916257
28,6,150,1.0,0.8620689655172413
29,6,200,1.0,0.8620689655172413
30,7,25,1.0,0.8571428571428571
31,7,50,1.0,0.8472906403940886
32,7,75,1.0,0.8768472906403941
33,7,100,1.0,0.8817733990147784
34,7,150,1.0,0.8571428571428571
35,7,200,1.0,0.8817733990147784
36,8,25,1.0,0.8472906403940886
37,8,50,1.0,0.8669950738916257
38,8,75,1.0,0.8472906403940886
39,8,100,1.0,0.8522167487684729
40,8,150,1.0,0.8620689655172413
41,8,200,1.0,0.8669950738916257
42,9,25,1.0,0.8719211822660099
43,9,50,1.0,0.8522167487684729
44,9,75,1.0,0.8669950738916257
45,9,100,1.0,0.8768472906403941
46,9,150,1.0,0.8620689655172413
47,9,200,1.0,0.8472906403940886
48,10,25,1.0,0.8620689655172413
49,10,50,1.0,0.8719211822660099
50,10,75,1.0,0.8669950738916257
51,10,100,1.0,0.8669950738916257
52,10,150,1.0,0.8177339901477833
53,10,200,1.0,0.8719211822660099
