,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.9355670103092784,0.7771084337349398
1,2,50,0.9536082474226805,0.7710843373493976
2,2,75,0.961340206185567,0.7891566265060241
3,2,100,0.9690721649484536,0.8072289156626506
4,2,150,0.9716494845360825,0.8192771084337349
5,2,200,0.979381443298969,0.8253012048192772
6,3,25,1.0,0.8072289156626506
7,3,50,1.0,0.8072289156626506
8,3,75,1.0,0.7831325301204819
9,3,100,1.0,0.7891566265060241
10,3,150,1.0,0.8132530120481928
11,3,200,1.0,0.8072289156626506
12,4,25,1.0,0.8072289156626506
13,4,50,1.0,0.8313253012048193
14,4,75,1.0,0.8373493975903614
15,4,100,1.0,0.8373493975903614
16,4,150,1.0,0.8253012048192772
17,4,200,1.0,0.8253012048192772
18,5,25,1.0,0.8072289156626506
19,5,50,1.0,0.8433734939759037
20,5,75,1.0,0.8012048192771084
21,5,100,1.0,0.8313253012048193
22,5,150,1.0,0.8253012048192772
23,5,200,1.0,0.8192771084337349
24,6,25,1.0,0.8734939759036144
25,6,50,1.0,0.8373493975903614
26,6,75,1.0,0.8493975903614458
27,6,100,1.0,0.8313253012048193
28,6,150,1.0,0.8554216867469879
29,6,200,1.0,0.8373493975903614
30,7,25,1.0,0.8012048192771084
31,7,50,1.0,0.8433734939759037
32,7,75,1.0,0.8313253012048193
33,7,100,1.0,0.8493975903614458
34,7,150,1.0,0.8433734939759037
35,7,200,1.0,0.8373493975903614
36,8,25,0.9974226804123711,0.7951807228915663
37,8,50,1.0,0.7771084337349398
38,8,75,0.9974226804123711,0.7891566265060241
39,8,100,1.0,0.7891566265060241
40,8,150,1.0,0.7891566265060241
41,8,200,1.0,0.7650602409638554
42,9,25,1.0,0.7650602409638554
43,9,50,1.0,0.7831325301204819
44,9,75,1.0,0.7710843373493976
45,9,100,1.0,0.7891566265060241
46,9,150,1.0,0.7891566265060241
47,9,200,1.0,0.7710843373493976
48,10,25,1.0,0.7831325301204819
49,10,50,1.0,0.7951807228915663
50,10,75,1.0,0.7831325301204819
51,10,100,1.0,0.7710843373493976
52,10,150,1.0,0.7891566265060241
53,10,200,1.0,0.7831325301204819
