,K Value,Training Accuracy,Testing Accuracy
0,3,0.915129151291513,0.8103448275862069
1,4,0.9114391143911439,0.8103448275862069
2,5,0.9040590405904059,0.8189655172413793
3,6,0.8892988929889298,0.8275862068965517
4,7,0.8892988929889298,0.8189655172413793
5,8,0.8819188191881919,0.8448275862068966
6,9,0.8708487084870848,0.8448275862068966
7,10,0.8634686346863468,0.8706896551724138
8,11,0.8671586715867159,0.8448275862068966
9,12,0.8745387453874539,0.8448275862068966
10,13,0.8782287822878229,0.8362068965517241
