,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.9077490774907749,0.9051724137931034
1,2,50,0.9114391143911439,0.896551724137931
2,2,75,0.9077490774907749,0.896551724137931
3,2,100,0.9114391143911439,0.9051724137931034
4,2,150,0.9114391143911439,0.9051724137931034
5,2,200,0.9114391143911439,0.9137931034482759
6,3,25,0.922509225092251,0.896551724137931
7,3,50,0.9188191881918819,0.8879310344827587
8,3,75,0.922509225092251,0.8793103448275862
9,3,100,0.922509225092251,0.8793103448275862
10,3,150,0.9261992619926199,0.8793103448275862
11,3,200,0.9261992619926199,0.8793103448275862
12,4,25,0.940959409594096,0.8706896551724138
13,4,50,0.9372693726937269,0.8706896551724138
14,4,75,0.940959409594096,0.8793103448275862
15,4,100,0.940959409594096,0.8793103448275862
16,4,150,0.9446494464944649,0.8793103448275862
17,4,200,0.9446494464944649,0.8793103448275862
18,5,25,0.966789667896679,0.8706896551724138
19,5,50,0.959409594095941,0.853448275862069
20,5,75,0.959409594095941,0.8706896551724138
21,5,100,0.9630996309963099,0.8706896551724138
22,5,150,0.9630996309963099,0.8706896551724138
23,5,200,0.9630996309963099,0.8706896551724138
24,6,25,0.981549815498155,0.8706896551724138
25,6,50,0.985239852398524,0.8620689655172413
26,6,75,0.977859778597786,0.8706896551724138
27,6,100,0.981549815498155,0.8620689655172413
28,6,150,0.985239852398524,0.8793103448275862
29,6,200,0.985239852398524,0.8706896551724138
30,7,25,0.992619926199262,0.8793103448275862
31,7,50,0.985239852398524,0.853448275862069
32,7,75,0.996309963099631,0.8793103448275862
33,7,100,0.988929889298893,0.8620689655172413
34,7,150,0.992619926199262,0.8620689655172413
35,7,200,0.992619926199262,0.853448275862069
36,8,25,0.996309963099631,0.8706896551724138
37,8,50,0.996309963099631,0.853448275862069
38,8,75,0.996309963099631,0.8620689655172413
39,8,100,0.996309963099631,0.8620689655172413
40,8,150,0.996309963099631,0.8620689655172413
41,8,200,0.996309963099631,0.853448275862069
42,9,25,1.0,0.8620689655172413
43,9,50,1.0,0.8448275862068966
44,9,75,0.996309963099631,0.853448275862069
45,9,100,0.996309963099631,0.8620689655172413
46,9,150,0.996309963099631,0.8620689655172413
47,9,200,0.996309963099631,0.853448275862069
48,10,25,1.0,0.8706896551724138
49,10,50,1.0,0.8706896551724138
50,10,75,1.0,0.8706896551724138
51,10,100,0.996309963099631,0.8706896551724138
52,10,150,1.0,0.8706896551724138
53,10,200,1.0,0.8620689655172413
