,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.8473581213307241,0.8401826484018264
1,2,50,0.8688845401174168,0.8310502283105022
2,2,75,0.8669275929549902,0.8584474885844748
3,2,100,0.8669275929549902,0.8493150684931506
4,2,150,0.8649706457925636,0.8538812785388128
5,2,200,0.8649706457925636,0.8538812785388128
6,3,25,0.8845401174168297,0.867579908675799
7,3,50,0.8904109589041096,0.8493150684931506
8,3,75,0.8825831702544031,0.8584474885844748
9,3,100,0.8806262230919765,0.8584474885844748
10,3,150,0.8825831702544031,0.8584474885844748
11,3,200,0.8845401174168297,0.8584474885844748
12,4,25,0.9080234833659491,0.8538812785388128
13,4,50,0.9119373776908023,0.8493150684931506
14,4,75,0.9158512720156555,0.8493150684931506
15,4,100,0.913894324853229,0.8538812785388128
16,4,150,0.9158512720156555,0.863013698630137
17,4,200,0.9080234833659491,0.8584474885844748
18,5,25,0.9334637964774951,0.8538812785388128
19,5,50,0.9393346379647749,0.8493150684931506
20,5,75,0.9354207436399217,0.8538812785388128
21,5,100,0.9354207436399217,0.8447488584474886
22,5,150,0.9334637964774951,0.8538812785388128
23,5,200,0.9315068493150684,0.8538812785388128
24,6,25,0.9608610567514677,0.8538812785388128
25,6,50,0.9667318982387475,0.863013698630137
26,6,75,0.9628180039138943,0.863013698630137
27,6,100,0.9628180039138943,0.863013698630137
28,6,150,0.9667318982387475,0.8584474885844748
29,6,200,0.9647749510763209,0.8538812785388128
30,7,25,0.9784735812133072,0.8493150684931506
31,7,50,0.9765166340508806,0.8447488584474886
32,7,75,0.9765166340508806,0.8538812785388128
33,7,100,0.9804305283757339,0.8584474885844748
34,7,150,0.9804305283757339,0.8584474885844748
35,7,200,0.9804305283757339,0.863013698630137
36,8,25,0.9823874755381604,0.8538812785388128
37,8,50,0.9902152641878669,0.863013698630137
38,8,75,0.9902152641878669,0.8493150684931506
39,8,100,0.9882583170254403,0.8538812785388128
40,8,150,0.9882583170254403,0.8493150684931506
41,8,200,0.9902152641878669,0.8493150684931506
42,9,25,0.9921722113502935,0.8538812785388128
43,9,50,0.9980430528375733,0.863013698630137
44,9,75,0.9960861056751468,0.8584474885844748
45,9,100,0.9960861056751468,0.863013698630137
46,9,150,0.9980430528375733,0.863013698630137
47,9,200,0.9980430528375733,0.863013698630137
48,10,25,0.9960861056751468,0.8584474885844748
49,10,50,0.9980430528375733,0.863013698630137
50,10,75,0.9980430528375733,0.8584474885844748
51,10,100,1.0,0.863013698630137
52,10,150,1.0,0.8584474885844748
53,10,200,0.9980430528375733,0.8493150684931506
