,K Value,Training Accuracy,Testing Accuracy
0,3,0.8923679060665362,0.8036529680365296
1,4,0.8806262230919765,0.7899543378995434
2,5,0.8747553816046967,0.8356164383561644
3,6,0.8786692759295499,0.8036529680365296
4,7,0.8767123287671232,0.8082191780821918
5,8,0.8747553816046967,0.7945205479452054
6,9,0.8610567514677103,0.817351598173516
7,10,0.8590998043052838,0.8127853881278538
8,11,0.8473581213307241,0.8356164383561644
9,12,0.8532289628180039,0.8264840182648402
10,13,0.8571428571428571,0.8310502283105022
