,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,Month_6,False,2,25,0.9315068493150684,0.821917808219178
1,Month_6,False,2,50,0.9902152641878669,0.8447488584474886
2,Month_6,False,2,75,1.0,0.8584474885844748
3,Month_6,False,2,100,1.0,0.8721461187214612
4,Month_6,False,2,150,1.0,0.8538812785388128
5,Month_6,False,2,200,1.0,0.8447488584474886
6,Month_6,False,3,25,1.0,0.8356164383561644
7,Month_6,False,3,50,1.0,0.8538812785388128
8,Month_6,False,3,75,1.0,0.8538812785388128
9,Month_6,False,3,100,1.0,0.8401826484018264
10,Month_6,False,3,150,1.0,0.863013698630137
11,Month_6,False,3,200,1.0,0.8538812785388128
12,Month_6,False,4,25,1.0,0.8264840182648402
13,Month_6,False,4,50,1.0,0.867579908675799
14,Month_6,False,4,75,1.0,0.821917808219178
15,Month_6,False,4,100,1.0,0.8538812785388128
16,Month_6,False,4,150,1.0,0.8447488584474886
17,Month_6,False,4,200,1.0,0.867579908675799
18,Month_6,False,5,25,1.0,0.8858447488584474
19,Month_6,False,5,50,1.0,0.8584474885844748
20,Month_6,False,5,75,1.0,0.8401826484018264
21,Month_6,False,5,100,1.0,0.867579908675799
22,Month_6,False,5,150,1.0,0.8767123287671232
23,Month_6,False,5,200,1.0,0.8721461187214612
24,Month_6,False,6,25,1.0,0.8904109589041096
25,Month_6,False,6,50,1.0,0.863013698630137
26,Month_6,False,6,75,1.0,0.8721461187214612
27,Month_6,False,6,100,1.0,0.8538812785388128
28,Month_6,False,6,150,1.0,0.8584474885844748
29,Month_6,False,6,200,1.0,0.8767123287671232
30,Month_6,False,7,25,1.0,0.867579908675799
31,Month_6,False,7,50,1.0,0.8767123287671232
32,Month_6,False,7,75,1.0,0.8767123287671232
33,Month_6,False,7,100,1.0,0.867579908675799
34,Month_6,False,7,150,1.0,0.8447488584474886
35,Month_6,False,7,200,1.0,0.8767123287671232
36,Month_6,False,8,25,1.0,0.867579908675799
37,Month_6,False,8,50,1.0,0.8584474885844748
38,Month_6,False,8,75,1.0,0.863013698630137
39,Month_6,False,8,100,1.0,0.8493150684931506
40,Month_6,False,8,150,1.0,0.867579908675799
41,Month_6,False,8,200,1.0,0.867579908675799
42,Month_6,False,9,25,1.0,0.8904109589041096
43,Month_6,False,9,50,1.0,0.8721461187214612
44,Month_6,False,9,75,1.0,0.8584474885844748
45,Month_6,False,9,100,1.0,0.863013698630137
46,Month_6,False,9,150,1.0,0.8584474885844748
47,Month_6,False,9,200,1.0,0.863013698630137
48,Month_6,False,10,25,1.0,0.8538812785388128
49,Month_6,False,10,50,1.0,0.8036529680365296
50,Month_6,False,10,75,0.9980430528375733,0.7945205479452054
51,Month_6,False,10,100,1.0,0.8584474885844748
52,Month_6,False,10,150,1.0,0.8721461187214612
53,Month_6,False,10,200,1.0,0.8584474885844748
54,Month_12,False,2,25,0.9788135593220338,0.8177339901477833
55,Month_12,False,2,50,1.0,0.812807881773399
56,Month_12,False,2,75,1.0,0.8374384236453202
57,Month_12,False,2,100,1.0,0.8226600985221675
58,Month_12,False,2,150,1.0,0.8423645320197044
59,Month_12,False,2,200,1.0,0.8472906403940886
60,Month_12,False,3,25,1.0,0.8226600985221675
61,Month_12,False,3,50,1.0,0.8275862068965517
62,Month_12,False,3,75,1.0,0.8472906403940886
63,Month_12,False,3,100,1.0,0.8374384236453202
64,Month_12,False,3,150,1.0,0.8325123152709359
65,Month_12,False,3,200,1.0,0.8472906403940886
66,Month_12,False,4,25,1.0,0.8423645320197044
67,Month_12,False,4,50,1.0,0.8719211822660099
68,Month_12,False,4,75,1.0,0.8571428571428571
69,Month_12,False,4,100,1.0,0.8571428571428571
70,Month_12,False,4,150,1.0,0.8620689655172413
71,Month_12,False,4,200,1.0,0.8522167487684729
