,Dataset,Selective,K Value,Training Accuracy,Testing Accuracy
0,Month_6,False,3,0.8767123287671232,0.8493150684931506
1,Month_6,False,4,0.8767123287671232,0.8127853881278538
2,Month_6,False,5,0.8688845401174168,0.8356164383561644
3,Month_6,False,6,0.8708414872798435,0.8310502283105022
4,Month_6,False,7,0.863013698630137,0.8310502283105022
5,Month_6,False,8,0.8610567514677103,0.8401826484018264
6,Month_6,False,9,0.8708414872798435,0.8493150684931506
7,Month_6,False,10,0.8669275929549902,0.8356164383561644
8,Month_6,False,11,0.8551859099804305,0.8493150684931506
9,Month_6,False,12,0.8610567514677103,0.8447488584474886
10,Month_6,False,13,0.8590998043052838,0.8447488584474886
11,Month_12,False,3,0.9046610169491526,0.8078817733990148
12,Month_12,False,4,0.8961864406779662,0.8275862068965517
13,Month_12,False,5,0.8940677966101694,0.812807881773399
14,Month_12,False,6,0.8771186440677966,0.8177339901477833
15,Month_12,False,7,0.8898305084745762,0.8275862068965517
16,Month_12,False,8,0.8834745762711864,0.8177339901477833
17,Month_12,False,9,0.8813559322033898,0.8226600985221675
18,Month_12,False,10,0.8898305084745762,0.8325123152709359
19,Month_12,False,11,0.8813559322033898,0.8226600985221675
20,Month_12,False,12,0.8813559322033898,0.8325123152709359
21,Month_12,False,13,0.8792372881355932,0.8177339901477833
22,Month_18,False,3,0.8785046728971962,0.7692307692307693
23,Month_18,False,4,0.8457943925233645,0.7582417582417582
24,Month_18,False,5,0.8644859813084113,0.7692307692307693
25,Month_18,False,6,0.8551401869158879,0.7472527472527473
26,Month_18,False,7,0.8691588785046729,0.8021978021978022
27,Month_18,False,8,0.8598130841121495,0.7802197802197802
28,Month_18,False,9,0.8411214953271028,0.8131868131868132
29,Month_18,False,10,0.8364485981308412,0.8021978021978022
30,Month_18,False,11,0.8457943925233645,0.8021978021978022
31,Month_18,False,12,0.8411214953271028,0.8021978021978022
32,Month_18,False,13,0.8317757009345794,0.8131868131868132
33,Month_24,False,3,0.8865979381443299,0.8373493975903614
34,Month_24,False,4,0.8556701030927835,0.8253012048192772
35,Month_24,False,5,0.8634020618556701,0.8373493975903614
36,Month_24,False,6,0.8350515463917526,0.8253012048192772
37,Month_24,False,7,0.8479381443298969,0.8493975903614458
38,Month_24,False,8,0.8402061855670103,0.8253012048192772
39,Month_24,False,9,0.8530927835051546,0.8433734939759037
40,Month_24,False,10,0.8479381443298969,0.8493975903614458
41,Month_24,False,11,0.8427835051546392,0.8493975903614458
42,Month_24,False,12,0.8479381443298969,0.8433734939759037
43,Month_24,False,13,0.8505154639175257,0.8313253012048193
