,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,Month_6,False,2,25,0.8434442270058709,0.8767123287671232
1,Month_6,False,2,50,0.8571428571428571,0.8767123287671232
2,Month_6,False,2,75,0.863013698630137,0.8721461187214612
3,Month_6,False,2,100,0.8610567514677103,0.863013698630137
4,Month_6,False,2,150,0.863013698630137,0.8767123287671232
5,Month_6,False,2,200,0.863013698630137,0.8721461187214612
6,Month_6,False,3,25,0.8825831702544031,0.867579908675799
7,Month_6,False,3,50,0.8708414872798435,0.8721461187214612
8,Month_6,False,3,75,0.8747553816046967,0.8812785388127854
9,Month_6,False,3,100,0.8747553816046967,0.8812785388127854
10,Month_6,False,3,150,0.8806262230919765,0.8812785388127854
11,Month_6,False,3,200,0.8767123287671232,0.8812785388127854
12,Month_6,False,4,25,0.9001956947162426,0.867579908675799
13,Month_6,False,4,50,0.9060665362035225,0.8721461187214612
14,Month_6,False,4,75,0.9060665362035225,0.8767123287671232
15,Month_6,False,4,100,0.9080234833659491,0.8767123287671232
16,Month_6,False,4,150,0.9119373776908023,0.8721461187214612
17,Month_6,False,4,200,0.9158512720156555,0.8812785388127854
18,Month_6,False,5,25,0.9197651663405088,0.8767123287671232
19,Month_6,False,5,50,0.9393346379647749,0.8721461187214612
20,Month_6,False,5,75,0.9471624266144814,0.8721461187214612
21,Month_6,False,5,100,0.9432485322896281,0.8721461187214612
22,Month_6,False,5,150,0.9471624266144814,0.8721461187214612
23,Month_6,False,5,200,0.9471624266144814,0.8721461187214612
24,Month_6,False,6,25,0.9667318982387475,0.8721461187214612
25,Month_6,False,6,50,0.9647749510763209,0.863013698630137
26,Month_6,False,6,75,0.958904109589041,0.867579908675799
27,Month_6,False,6,100,0.958904109589041,0.863013698630137
28,Month_6,False,6,150,0.9628180039138943,0.867579908675799
29,Month_6,False,6,200,0.9647749510763209,0.867579908675799
30,Month_6,False,7,25,0.9784735812133072,0.8538812785388128
31,Month_6,False,7,50,0.9765166340508806,0.8584474885844748
32,Month_6,False,7,75,0.9804305283757339,0.867579908675799
33,Month_6,False,7,100,0.9804305283757339,0.8584474885844748
34,Month_6,False,7,150,0.9784735812133072,0.8538812785388128
35,Month_6,False,7,200,0.9804305283757339,0.867579908675799
36,Month_6,False,8,25,0.9882583170254403,0.867579908675799
37,Month_6,False,8,50,0.9863013698630136,0.8858447488584474
38,Month_6,False,8,75,0.9863013698630136,0.867579908675799
39,Month_6,False,8,100,0.9902152641878669,0.867579908675799
40,Month_6,False,8,150,0.9921722113502935,0.867579908675799
41,Month_6,False,8,200,0.9941291585127201,0.863013698630137
42,Month_6,False,9,25,0.9941291585127201,0.8767123287671232
43,Month_6,False,9,50,0.9941291585127201,0.8812785388127854
44,Month_6,False,9,75,0.9960861056751468,0.8767123287671232
45,Month_6,False,9,100,1.0,0.8812785388127854
46,Month_6,False,9,150,1.0,0.8767123287671232
47,Month_6,False,9,200,1.0,0.8812785388127854
48,Month_6,False,10,25,0.9980430528375733,0.867579908675799
49,Month_6,False,10,50,0.9980430528375733,0.8721461187214612
50,Month_6,False,10,75,1.0,0.8721461187214612
51,Month_6,False,10,100,1.0,0.8767123287671232
52,Month_6,False,10,150,1.0,0.867579908675799
53,Month_6,False,10,200,1.0,0.8767123287671232
54,Month_12,False,2,25,0.885593220338983,0.8423645320197044
55,Month_12,False,2,50,0.885593220338983,0.8522167487684729
56,Month_12,False,2,75,0.8877118644067796,0.8472906403940886
57,Month_12,False,2,100,0.8877118644067796,0.8522167487684729
58,Month_12,False,2,150,0.8919491525423728,0.8472906403940886
59,Month_12,False,2,200,0.8898305084745762,0.8522167487684729
60,Month_12,False,3,25,0.9194915254237288,0.8620689655172413
61,Month_12,False,3,50,0.923728813559322,0.8768472906403941
62,Month_12,False,3,75,0.9173728813559322,0.8817733990147784
63,Month_12,False,3,100,0.9173728813559322,0.8866995073891626
64,Month_12,False,3,150,0.9152542372881356,0.8817733990147784
65,Month_12,False,3,200,0.9152542372881356,0.8817733990147784
66,Month_12,False,4,25,0.9427966101694916,0.8817733990147784
67,Month_12,False,4,50,0.9449152542372882,0.8768472906403941
68,Month_12,False,4,75,0.940677966101695,0.8719211822660099
69,Month_12,False,4,100,0.9385593220338984,0.8817733990147784
70,Month_12,False,4,150,0.9449152542372882,0.8719211822660099
71,Month_12,False,4,200,0.940677966101695,0.8768472906403941
72,Month_12,False,5,25,0.9576271186440678,0.8768472906403941
73,Month_12,False,5,50,0.9597457627118644,0.8768472906403941
74,Month_12,False,5,75,0.961864406779661,0.8817733990147784
75,Month_12,False,5,100,0.9639830508474576,0.8768472906403941
76,Month_12,False,5,150,0.961864406779661,0.8768472906403941
77,Month_12,False,5,200,0.9639830508474576,0.8768472906403941
78,Month_12,False,6,25,0.972457627118644,0.8620689655172413
79,Month_12,False,6,50,0.972457627118644,0.8768472906403941
80,Month_12,False,6,75,0.9766949152542372,0.8669950738916257
81,Month_12,False,6,100,0.9745762711864406,0.8620689655172413
82,Month_12,False,6,150,0.9745762711864406,0.8719211822660099
83,Month_12,False,6,200,0.972457627118644,0.8768472906403941
84,Month_12,False,7,25,0.989406779661017,0.8768472906403941
85,Month_12,False,7,50,0.9872881355932204,0.8768472906403941
86,Month_12,False,7,75,0.9830508474576272,0.8866995073891626
