,Dataset,Selective,C Value,Training Accuracy,Testing Accuracy
0,Month_6,False,0.01,0.8864970645792564,0.8538812785388128
1,Month_6,False,0.02,0.8923679060665362,0.863013698630137
2,Month_6,False,0.1,0.9099804305283757,0.8538812785388128
3,Month_6,False,0.2,0.9295499021526419,0.8493150684931506
4,Month_6,False,0.3,0.9373776908023483,0.8401826484018264
5,Month_6,False,0.5,0.9354207436399217,0.8310502283105022
6,Month_6,False,0.75,0.9393346379647749,0.8401826484018264
7,Month_6,False,0.9,0.9334637964774951,0.8356164383561644
8,Month_6,False,1.0,0.9334637964774951,0.8356164383561644
9,Month_12,False,0.01,0.8983050847457628,0.8768472906403941
10,Month_12,False,0.02,0.9110169491525424,0.8719211822660099
11,Month_12,False,0.1,0.9470338983050848,0.8669950738916257
12,Month_12,False,0.2,0.9597457627118644,0.8620689655172413
13,Month_12,False,0.3,0.961864406779661,0.8374384236453202
14,Month_12,False,0.5,0.9597457627118644,0.8374384236453202
15,Month_12,False,0.75,0.9597457627118644,0.8472906403940886
16,Month_12,False,0.9,0.961864406779661,0.8423645320197044
17,Month_12,False,1.0,0.961864406779661,0.8325123152709359
18,Month_18,False,0.01,0.8925233644859814,0.8461538461538461
19,Month_18,False,0.02,0.9065420560747663,0.8351648351648352
20,Month_18,False,0.1,0.9252336448598131,0.8571428571428571
21,Month_18,False,0.2,0.9345794392523364,0.8351648351648352
22,Month_18,False,0.3,0.9439252336448598,0.8351648351648352
23,Month_18,False,0.5,0.9485981308411215,0.8241758241758241
24,Month_18,False,0.75,0.9626168224299065,0.8131868131868132
25,Month_18,False,0.9,0.9626168224299065,0.8131868131868132
26,Month_18,False,1.0,0.9626168224299065,0.8131868131868132
27,Month_24,False,0.01,0.8891752577319587,0.8313253012048193
28,Month_24,False,0.02,0.9020618556701031,0.8433734939759037
29,Month_24,False,0.1,0.9175257731958762,0.8554216867469879
30,Month_24,False,0.2,0.9252577319587629,0.8554216867469879
31,Month_24,False,0.3,0.9329896907216495,0.8433734939759037
32,Month_24,False,0.5,0.9432989690721649,0.8433734939759037
33,Month_24,False,0.75,0.9458762886597938,0.8373493975903614
34,Month_24,False,0.9,0.9484536082474226,0.8012048192771084
35,Month_24,False,1.0,0.9484536082474226,0.8012048192771084
36,Month_36,False,0.01,0.915129151291513,0.8275862068965517
37,Month_36,False,0.02,0.9372693726937269,0.7844827586206896
38,Month_36,False,0.1,0.955719557195572,0.8103448275862069
39,Month_36,False,0.2,0.9704797047970479,0.8017241379310345
40,Month_36,False,0.3,0.974169741697417,0.8103448275862069
41,Month_36,False,0.5,0.981549815498155,0.8275862068965517
42,Month_36,False,0.75,0.985239852398524,0.8189655172413793
43,Month_36,False,0.9,0.985239852398524,0.8103448275862069
44,Month_36,False,1.0,0.985239852398524,0.8103448275862069
45,Month_48,False,0.01,0.9577464788732394,0.8333333333333334
46,Month_48,False,0.02,0.971830985915493,0.8333333333333334
47,Month_48,False,0.1,1.0,0.8333333333333334
48,Month_48,False,0.2,1.0,0.8333333333333334
49,Month_48,False,0.3,1.0,0.8333333333333334
50,Month_48,False,0.5,1.0,0.8333333333333334
51,Month_48,False,0.75,1.0,0.8333333333333334
52,Month_48,False,0.9,1.0,0.8333333333333334
53,Month_48,False,1.0,1.0,0.8333333333333334
54,Month_6,True,0.01,0.821917808219178,0.863013698630137
55,Month_6,True,0.02,0.8512720156555773,0.8584474885844748
56,Month_6,True,0.1,0.8669275929549902,0.867579908675799
57,Month_6,True,0.2,0.8669275929549902,0.8812785388127854
58,Month_6,True,0.3,0.8669275929549902,0.8812785388127854
59,Month_6,True,0.5,0.8610567514677103,0.8767123287671232
60,Month_6,True,0.75,0.8590998043052838,0.8767123287671232
61,Month_6,True,0.9,0.8590998043052838,0.8767123287671232
62,Month_6,True,1.0,0.8610567514677103,0.8767123287671232
63,Month_12,True,0.01,0.8305084745762712,0.8275862068965517
64,Month_12,True,0.02,0.864406779661017,0.8522167487684729
65,Month_12,True,0.1,0.885593220338983,0.8522167487684729
66,Month_12,True,0.2,0.8983050847457628,0.8571428571428571
67,Month_12,True,0.3,0.9004237288135594,0.8620689655172413
68,Month_12,True,0.5,0.9046610169491526,0.8522167487684729
69,Month_12,True,0.75,0.9004237288135594,0.8522167487684729
70,Month_12,True,0.9,0.9004237288135594,0.8522167487684729
71,Month_12,True,1.0,0.8983050847457628,0.8571428571428571
72,Month_18,True,0.01,0.8037383177570093,0.8241758241758241
73,Month_18,True,0.02,0.8177570093457944,0.8681318681318682
74,Month_18,True,0.1,0.8925233644859814,0.8681318681318682
75,Month_18,True,0.2,0.897196261682243,0.8681318681318682
76,Month_18,True,0.3,0.9018691588785047,0.8461538461538461
77,Month_18,True,0.5,0.9112149532710281,0.8351648351648352
78,Month_18,True,0.75,0.9018691588785047,0.8351648351648352
79,Month_18,True,0.9,0.9018691588785047,0.8241758241758241
80,Month_18,True,1.0,0.9065420560747663,0.8351648351648352
81,Month_24,True,0.01,0.8221649484536082,0.8313253012048193
82,Month_24,True,0.02,0.8685567010309279,0.8132530120481928
83,Month_24,True,0.1,0.884020618556701,0.8554216867469879
84,Month_24,True,0.2,0.8865979381443299,0.8433734939759037
85,Month_24,True,0.3,0.8865979381443299,0.8253012048192772
86,Month_24,True,0.5,0.8865979381443299,0.8373493975903614
87,Month_24,True,0.75,0.8865979381443299,0.8313253012048193
88,Month_24,True,0.9,0.8865979381443299,0.8373493975903614
89,Month_24,True,1.0,0.8865979381443299,0.8433734939759037
90,Month_36,True,0.01,0.8819188191881919,0.8706896551724138
91,Month_36,True,0.02,0.9040590405904059,0.8706896551724138
92,Month_36,True,0.1,0.9188191881918819,0.853448275862069
93,Month_36,True,0.2,0.9188191881918819,0.8448275862068966
94,Month_36,True,0.3,0.915129151291513,0.853448275862069
95,Month_36,True,0.5,0.9040590405904059,0.853448275862069
96,Month_36,True,0.75,0.9261992619926199,0.853448275862069
97,Month_36,True,0.9,0.922509225092251,0.8620689655172413
98,Month_36,True,1.0,0.922509225092251,0.8620689655172413
99,Month_48,True,0.01,0.7746478873239436,0.8
100,Month_48,True,0.02,0.7887323943661971,0.8
101,Month_48,True,0.1,0.8169014084507042,0.9
102,Month_48,True,0.2,0.9154929577464789,0.9333333333333333
103,Month_48,True,0.3,0.9436619718309859,0.9
104,Month_48,True,0.5,0.9577464788732394,0.8333333333333334
105,Month_48,True,0.75,0.9577464788732394,0.8333333333333334
106,Month_48,True,0.9,0.9577464788732394,0.8333333333333334
107,Month_48,True,1.0,0.9577464788732394,0.8333333333333334
